,word,wordcount_before,percentage_before,wordcount_onafter,percentage_onafter,wordcount_difference,percentage_difference
0,print,26521,0.0741918789252094,7936,0.0535691383441898,-18585,-27.79649320083774
1,silver,23150,0.0647615850502846,6083,0.0410611225488541,-17067,-36.59648305863439
2,lithograph,19429,0.0543521743387464,5159,0.0348239900097877,-14270,-35.92898456508945
3,gelatin,17189,0.0480858265844208,4863,0.0328259475513854,-12326,-31.734671351119943
4,paper,13559,0.0379309862504021,4669,0.0315164197239191,-8890,-16.911151437342337
5,printed,11898,0.0332843774915026,4161,0.0280873468561206,-7737,-15.61402383658455
6,one,11355,0.0317653476564139,4043,0.027290829930136,-7312,-14.08616009708438
7,etching,9643,0.0269760675870364,3835,0.025886800094502,-5808,-4.037903185925653
8,book,8189,0.0229085365000769,3579,0.0241587633737216,-4610,5.457471600774242
9,pencil,8167,0.022846992013204,3331,0.0224847278004657,-4836,-1.585610099259177
10,,7777,0.0217559761095491,3243,0.0218907151776975,-4534,0.619319801924504
11,illustrated,7359,0.0205866308589652,2910,0.019642917411995,-4449,-4.584108266356876
12,albumen,5874,0.0164323779950484,2468,0.0166593540112727,-3406,1.3812730956693857
13,ink,5679,0.015886870043221,2463,0.01662560329407,-3216,4.649960935283288
14,color,5532,0.0154756409718433,1980,0.0133652840122852,-3552,-13.636636850116432
15,black,5387,0.0150700068538178,1951,0.0131695298525093,-3436,-12.610989628229913
16,aquatint,5132,0.0143566503014281,1893,0.0127780215329575,-3239,-10.995801494959927
17,portfolio,5118,0.0143174856279635,1854,0.0125147659387762,-3264,-12.59103543757995
18,engraving,4832,0.0135174072986166,1788,0.0120692564717,-3044,-10.713229208272852
19,woodcut,4561,0.0127592911194102,1617,0.0109149819433662,-2944,-14.454636694027034
20,drypoint,4040,0.0113018057711943,1611,0.010874481082723,-2429,-3.7810301921879694
21,offset,3592,0.0100485362203292,1499,0.0101184650173816,-2093,0.6959102850316361
22,screenprint,3200,0.0089519253633222,1491,0.0100644638698572,-1709,12.42792428870429
23,letterpress,3161,0.0088428237729567,1190,0.0080326706942522,-1971,-9.16170105280314
24,wood,3099,0.0086693802190424,1183,0.0079854196901684,-1916,-7.889382073376729
25,including,2997,0.0083840375980865,1177,0.0079449188295251,-1820,-5.237557244037404
26,two,2153,0.0060229672835102,1081,0.0072969050592325,-1072,21.1513314908768
27,cover,2059,0.0057600044759626,1078,0.0072766546289108,-981,26.330711361031366
28,tracing,2047,0.0057264347558502,1059,0.0071484019035404,-988,24.83163099409279
29,watercolor,2007,0.0056145356888086,1056,0.0071281514732188,-951,26.958877248340873
30,addition,1895,0.0053012183010924,1003,0.0067703938708697,-892,27.713923221659307
31,reproduction,1860,0.005203306617431,998,0.006736643153667,-862,29.468502415355363
32,colored,1852,0.0051809268040227,971,0.0065543892807722,-881,26.509976471450692
33,gouache,1803,0.0050438504468968,900,0.0060751290964933,-903,20.446257486301725
34,oil,1711,0.0047864825927013,874,0.005899625367039,-837,23.25596620857001
35,canvas,1520,0.004252164547578,855,0.0057713726416686,-665,35.727876404875445
36,front,1341,0.0037514162225672,842,0.0056836207769415,-499,51.506003059613526
37,drawing,1319,0.0036898717356944,838,0.0056566202031793,-481,53.3012692137597
38,text,1314,0.0036758843523142,802,0.0054136150393195,-512,47.273812787698006
39,pen,1311,0.003667491922286,801,0.005406864895879,-510,47.42677040468639
40,photogravure,1286,0.0035975550053851,786,0.0053056127442708,-500,47.47829390597075
41,0,1284,0.003591960052033,767,0.0051773600189004,-517,44.13746099347864
42,wrapper,1266,0.0035416054718643,723,0.0048803537075162,-543,37.80060332206295
43,collotype,1239,0.0034660736016113,642,0.0043335920888318,-597,25.028853594372908
44,ten,1238,0.0034632761249353,616,0.0041580883593776,-622,20.06228234126957
45,cut,1236,0.0034576811715832,602,0.0040635863512099,-634,17.523454290878657
46,collage,1217,0.0034045291147385,591,0.0039893347733639,-626,17.177284696838857
47,lithographed,1146,0.0032059082707397,590,0.0039825846299233,-556,24.22640617238862
48,board,1142,0.0031947183640356,580,0.0039150831955179,-562,22.54861773080768
49,six,1099,0.0030744268669659,580,0.0039150831955179,-519,27.34351360198819
50,ground,1093,0.0030576420069097,562,0.003793580613588,-531,24.068828365623443
51,linoleum,1082,0.0030268697634733,547,0.0036923284619798,-535,21.985045624919564
52,five,1054,0.0029485404165442,542,0.003658577744777,-512,24.08097661638942
53,glass,1042,0.0029149706964318,520,0.003510074589085,-522,20.415433108184022
54,three,1035,0.0028953883596995,501,0.0033818218637146,-534,16.800285266933415
55,chromogenic,1031,0.0028841984529953,493,0.0033278207161902,-538,15.381128255380252
56,manuscript,970,0.002713552375757,492,0.0033210705727496,-478,22.38829817401703
57,supplementary,969,0.002710754899081,485,0.0032738195686658,-484,20.771507958011636
58,plastic,942,0.0026352230288279,481,0.0032468189949036,-461,23.20850870629067
59,containing,935,0.0026156406920957,456,0.0030780654088899,-479,17.67921405228241
60,crayon,931,0.0026044507853915,451,0.0030443146916871,-480,16.88893139247705
61,four,931,0.0026044507853915,422,0.0028485605319113,-509,9.37279167988216
