,word,wordcount,percentage
42,print,26521,0.07419187892520947
12,silver,23150,0.06476158505028465
50,lithograph,19429,0.05435217433874645
11,gelatin,17189,0.04808582658442085
4,paper,13559,0.037930986250402136
41,printed,11898,0.03328437749150266
933,one,11355,0.031765347656413916
68,etching,9643,0.026976067587036492
871,book,8189,0.02290853650007693
8,pencil,8167,0.02284699201320409
195,nan,7777,0.021755976109549185
930,illustrated,7359,0.020586630858965213
1999,albumen,5874,0.016432377995048465
0,ink,5679,0.015886870043221014
7,color,5532,0.015475640971843398
116,black,5387,0.015070006853817857
936,aquatint,5132,0.014356650301428112
881,portfolio,5118,0.014317485627963577
955,engraving,4832,0.013517407298616647
854,woodcut,4561,0.012759291119410291
937,drypoint,4040,0.011301805771194382
843,offset,3592,0.010048536220329264
847,screenprint,3200,0.008951925363322283
84,letterpress,3161,0.008842823772956794
75,wood,3099,0.008669380219042424
948,including,2997,0.008384037598086525
904,two,2153,0.006022967283510274
221,cover,2059,0.005760004475962682
10,tracing,2047,0.005726434755850223
15,watercolor,2007,0.0056145356888086945
853,addition,1895,0.005301218301092415
18,reproduction,1860,0.005203306617431077
23,colored,1852,0.005180926804022772
9,gouache,1803,0.005043850446896899
63,oil,1711,0.0047864825927013835
88,canvas,1520,0.0042521645475780846
719,front,1341,0.003751416222567244
962,drawing,1319,0.003689871735694404
900,text,1314,0.0036758843523142124
6,pen,1311,0.003667491922286098
857,photogravure,1286,0.0035975550053851425
645,0,1284,0.003591960052033066
959,wrapper,1266,0.0035416054718643785
851,collotype,1239,0.0034660736016113467
947,ten,1238,0.0034632761249353086
186,cut,1236,0.0034576811715832318
70,collage,1217,0.003404529114738506
934,lithographed,1146,0.0032059082707397925
35,board,1142,0.0031947183640356398
845,six,1099,0.0030744268669659967
939,ground,1093,0.003057642006909767
316,linoleum,1082,0.0030268697634733472
954,five,1054,0.002948540416544277
210,glass,1042,0.0029149706964318187
670,three,1035,0.002895388359699551
1973,chromogenic,1031,0.0028841984529953983
941,manuscript,970,0.002713552375757067
951,supplementary,969,0.002710754899081029
56,plastic,942,0.002635223028827997
1501,containing,935,0.0026156406920957295
29,crayon,931,0.0026044507853915768
896,four,931,0.0026044507853915768
3,page,916,0.0025624886352510036
1,cutandpasted,901,0.0025205264851104305
859,pochoir,891,0.0024925517183500483
932,eight,871,0.0024366021848292838
60,illustration,801,0.002240778817506609
74,steel,784,0.0021932217140139595
873,block,776,0.0021708419006056536
2001,printingoutpaper,772,0.002159651993901501
872,line,761,0.0021288797504650805
22,paint,759,0.002123284797113004
2214,video,744,0.002081322646972431
935,suite,722,0.00201977816009959
2164,series,722,0.00201977816009959
856,seven,720,0.0020141832067475138
81,white,698,0.0019526387198746731
163,box,691,0.0019330563831424054
800,poster,689,0.001927461429790329
986,nine,677,0.0018938917096778705
938,soft,660,0.001846334606185221
3039,sound,659,0.0018435371295091828
1026,title,652,0.0018239547927769153
1404,negative,651,0.001821157316100877
912,embossing,642,0.001795980026016533
14,charcoal,628,0.0017568153525519981
953,twelve,624,0.0017456254458478452
55,metal,623,0.001742827969171807
885,relief,616,0.0017232456324395395
956,roulette,594,0.001661701145566699
2923,mm,593,0.0016589036688906607
134,film,591,0.0016533087155385841
2,painted,587,0.0016421188088344314
1005,eleven,548,0.001533017218468941
65,felttip,537,0.0015022449750325207
24,transfer,519,0.0014518903948638328
27,sheet,518,0.0014490929181877946
57,synthetic,512,0.0014323080581315653
90,card,509,0.0014239156281034508
1126,eighteen,503,0.0014071307680472215
5,graphite,496,0.001387548431314954
26,polymer,495,0.0013847509546389158
148,media,491,0.0013735610479347629
76,photolithograph,491,0.0013735610479347629
1109,twenty,482,0.001348383757850419
2012,platinum,481,0.0013455862811743806
1051,chine,453,0.0012672569342453107
2000,matte,448,0.0012532695508651196
34,mounted,430,0.001202914970696432
940,lift,423,0.0011833326339641644
1271,album,416,0.001163750297231897
1781,transparentized,408,0.001141370483823591
475,plate,389,0.001088218426978865
1084,various,383,0.0010714335669226357
1646,doublesided,382,0.0010686360902465975
931,fifteen,364,0.0010182815100779098
899,halftone,357,0.0009986991733456423
72,aluminum,356,0.000995901696669604
169,label,348,0.0009735218832612983
976,photocopies,345,0.0009651294532331836
1310,postcard,340,0.0009511420698529926
39,silkscreen,329,0.0009203698264165722
1120,object,328,0.000917572349740534
1033,colophon,327,0.0009147748730644958
64,ballpoint,322,0.0009007874896843047
1204,envelope,317,0.0008868001063041137
13,photograph,314,0.0008784076762759991
1072,stamped,309,0.0008644202928958079
993,folder,302,0.0008448379561635405
1038,twentytwo,300,0.0008392430028114641
1146,journal,300,0.0008392430028114641
1127,twentyeight,297,0.0008308505727833495
236,rubber,295,0.000825255619431273
963,artist,294,0.0008224581427552348
145,stamp,291,0.0008140657127271202
1052,collé,290,0.000811268236051082
989,collaged,288,0.0008056732826990055
981,collagraph,286,0.000800078329346929
1857,dye,284,0.0007944833759948527
220,cotton,279,0.0007804959926146616
49,acetate,277,0.0007749010392625852
191,cardboard,276,0.0007721035625865469
2215,silent,275,0.0007693060859105087
1386,00,275,0.0007693060859105087
862,stencil,271,0.0007581161792063559
1025,thirteen,269,0.0007525212258542794
28,pastel,269,0.0007525212258542794
318,back,266,0.0007441287958261648
293,fabric,265,0.0007413313191501266
1318,sixteen,265,0.0007413313191501266
45,tempera,265,0.0007413313191501266
1846,typewriting,264,0.0007385338424740884
1015,rubberstamped,262,0.0007329388891220119
94,glazed,260,0.0007273439357699355
170,mixed,245,0.0006853817856293623
1208,graph,243,0.0006797868322772859
222,bronze,242,0.0006769893556012477
46,acrylic,238,0.0006657994488970949
2359,transferred,236,0.0006602044955450184
850,paperboard,234,0.0006546095421929419
1162,notebook,229,0.0006406221588127509
2004,salted,228,0.0006378246821367127
1326,set,224,0.0006266347754325598
897,photolithographic,223,0.0006238372987565216
1168,periodical,221,0.0006182423454044451
82,vellum,220,0.000615444868728407
73,stainless,210,0.0005874701019680248
1034,multiple,210,0.0005874701019680248
961,fifty,207,0.0005790776719399102
99,conté,207,0.0005790776719399102
1648,thirtyone,199,0.0005566978585316045
67,tape,195,0.0005455079518274517
1004,fourteen,193,0.0005399129984753752
252,porcelain,192,0.000537115521799337
946,nineteen,188,0.0005259256150951841
735,hand,185,0.0005175331850670695
1028,twentyfour,185,0.0005175331850670695
105,wash,184,0.0005147357083910313
1014,twentyseven,184,0.0005147357083910313
1032,twentysix,182,0.0005091407550389549
2040,calotype,182,0.0005091407550389549
1112,duplicate,178,0.000497950848334802
157,c,175,0.0004895584183066873
1039,seventeen,175,0.0004895584183066873
2134,inkjet,174,0.00048676094163064914
366,vinyl,171,0.0004783685116025345
209,plywood,168,0.0004699760815744199
836,pigmented,168,0.0004699760815744199
1111,appliqué,167,0.00046717860489838166
1035,design,163,0.00045598869819422883
1122,record,162,0.0004531912215181906
2121,photocopy,158,0.0004420013148140377
1040,variant,156,0.0004364063614619613
21,metallic,155,0.0004336088847859231
51,linen,151,0.00042241897808177023
2476,confirm,150,0.00041962150140573205
208,chromeplated,148,0.0004140265480536556
226,wire,146,0.00040843159470157917
38,cloth,143,0.0004000391646734645
895,exhibition,142,0.00039724168799742634
1328,intaglio,142,0.00039724168799742634
203,brass,141,0.0003944442113213881
1503,note,139,0.0003888492579693117
40,copy,136,0.00038045682794119704
194,plexiglas,136,0.00038045682794119704
333,wool,133,0.0003720643979130824
1092,caption,131,0.00036646944456100597
1520,fiftyfive,131,0.00036646944456100597
44,diazotype,128,0.0003580770145328913
1116,sixtytwo,126,0.0003524820611808149
846,lithography,126,0.0003524820611808149
1529,table,126,0.0003524820611808149
71,paper\r\n,125,0.0003496845845047767
943,smooth,124,0.0003468871078287385
264,leather,123,0.00034408963115270026
3633,inch,122,0.0003412921544766621
1872,plaster,120,0.0003356972011245856
1124,chalk,119,0.00033289972444854743
1046,folded,117,0.00032730477109647096
964,thirtytwo,116,0.0003245072944204328
1540,fiftysix,116,0.0003245072944204328
247,iron,115,0.00032170981774439454
219,material,114,0.00031891234106835636
317,frame,114,0.00031891234106835636
66,marker,114,0.00031891234106835636
1658,handwritten,113,0.00031611486439231813
882,diecut,113,0.00031611486439231813
47,felttipped,112,0.0003133173877162799
1075,twentyone,111,0.0003105199110402417
513,carbon,111,0.0003105199110402417
61,serigraph,110,0.0003077224343642035
1565,monotype,110,0.0003077224343642035
456,enamel,109,0.0003049249576881653
611,panel,108,0.00030212748101212706
3415,bulletins,104,0.00029093757430797423
180,pasted,104,0.00029093757430797423
1149,thirty,102,0.00028534262095589776
2922,super,100,0.00027974766760382135
48,photostat,100,0.00027974766760382135
1802,piece,99,0.0002769501909277831
1020,slipcase,98,0.00027415271425174493
2195,heliogravure,96,0.0002685577608996685
80,photomontage,96,0.0002685577608996685
1767,ninetyfour,95,0.0002657602842236303
1036,typographic,95,0.0002657602842236303
2024,wetcollodion,94,0.00026296280754759205
1037,hectographed,93,0.00026016533087155387
20,type,92,0.00025736785419551564
1703,seventyfour,92,0.00025736785419551564
