,word,wordcount,percentage
3,print,7936,0.05356913834418981
10,paper,6083,0.04106112254885416
509,one,5159,0.03482399000978771
39,color,4863,0.032825947551385466
59,lithograph,4669,0.03151641972391913
2,pencil,4161,0.02808734685612069
507,etching,4043,0.027290829930136016
42,printed,3835,0.02588680009450201
13,silver,3579,0.024158763373721692
12,gelatin,3331,0.02248472780046576
529,portfolio,3243,0.021890715177697525
502,aquatint,2910,0.019642917411995003
549,drypoint,2468,0.01665935401127274
8,ink,2463,0.01662560329407
47,screenprint,1980,0.013365284012285261
467,book,1951,0.013169529852509366
501,additions,1945,0.013129028991866076
522,nan,1893,0.012778021532957576
1056,video,1854,0.0125147659387762
1,colored,1788,0.012069256471700023
1065,sound,1617,0.010914981943366297
919,chromogenic,1611,0.010874481082723007
16,pen,1499,0.010118465017381619
450,offset,1491,0.010064463869857234
593,hand,1190,0.008032670694252253
626,digital,1183,0.007985419690168416
56,black,1177,0.007944918829525128
466,illustrated,1081,0.007296905059232509
474,two,1078,0.007276654628910864
776,series,1059,0.00714840190354045
511,woodcut,1056,0.007128151473218806
572,collé,1003,0.006770393870869756
571,chine,998,0.006736643153667015
20,watercolor,971,0.006554389280772216
981,inkjet,900,0.006075129096493301
499,artist,874,0.00589962536703905
0,paint,855,0.005771372641668635
524,engraving,842,0.00568362077694151
523,photogravure,838,0.005656620203179317
555,letterpress,802,0.005413615039319586
779,ballpoint,801,0.0054068648958790376
15,polymer,786,0.0053056127442708155
980,pigmented,767,0.005177360018900402
6,synthetic,723,0.004880353707516285
51,film,642,0.004333592088831888
81,board,616,0.004158088359377637
11,cutandpasted,602,0.004063586351209963
956,mm,591,0.003989334773363934
512,three,590,0.003982584629923386
516,four,580,0.003915083195517905
710,felttip,580,0.003915083195517905
74,collage,562,0.003793580613588039
69,ten,547,0.003692328461979817
17,gouache,542,0.0036585777447770765
569,eight,520,0.003510074589085018
28,wood,501,0.003381821863714604
101,plastic,493,0.003327820716190219
136,oil,492,0.003321070572749671
584,five,485,0.0032738195686658343
33,cut,481,0.0032468189949036415
769,white,456,0.003078065408889939
500,twelve,451,0.003044314691687198
472,six,422,0.002848560531911303
548,multiple,394,0.002659556515575956
202,0,393,0.0026528063721354077
19,graphite,388,0.0026190556549326675
54,acrylic,387,0.002612305511492119
30,canvas,363,0.0024503020689189644
25,sheet,363,0.0024503020689189644
521,nine,356,0.002403051064835128
682,text,352,0.002376050491072935
487,cover,349,0.002355800060751291
525,linoleum,348,0.0023490499173107427
95,steel,337,0.0022747983394647135
123,drawing,330,0.002227547335380877
1704,silent,329,0.0022207971919403287
78,charcoal,320,0.0021600459009753956
32,crayon,312,0.002106044753451011
540,seven,307,0.00207229403624827
783,vinyl,300,0.0020250430321644337
1370,transferred,295,0.001991292314961693
454,photolithograph,291,0.0019642917411995006
609,relief,276,0.0018630395895912787
68,record,272,0.0018360390158290863
538,ground,269,0.001815788585507442
1109,xeroxes,265,0.0017887880117452497
709,dye,261,0.001761787437983057
495,journal,259,0.0017482871511019609
585,page,257,0.0017347868642208647
465,periodical,254,0.0017145364338992204
97,aluminum,253,0.0017077862904586723
1681,paper\r\n,249,0.00168078571669648
89,pastel,246,0.0016605352863748354
29,metal,242,0.001633534712612643
1514,inch,235,0.0015862837085288063
263,fabric,232,0.0015660332782071618
60,photocopy,228,0.0015390327044449694
2335,super,224,0.001512032130682777
14,photograph,222,0.0014985318438016809
573,bound,219,0.0014782814134800364
530,fourteen,213,0.0014377805528367478
5,reproduction,211,0.0014242802659556516
115,glass,211,0.0014242802659556516
72,silkscreen,209,0.0014107799790745554
916,printingoutpaper,208,0.0014040298356340073
117,tape,200,0.0013500286881096223
545,transfer,198,0.0013365284012285261
531,thirteen,189,0.001275777110263593
459,poster,188,0.001269026966823045
464,set,181,0.0012217759627392083
27,painted,179,0.001208275675858112
578,containing,178,0.001201525532417564
460,box,175,0.0011812751020959195
388,frame,173,0.0011677748152148233
917,bleach,171,0.001154274528333727
