,nationality,count_before,percentage_before,count_onafter,percentage_onafter,count_difference,percentage_difference
0,american,38918,0.4257288191215884,19013,0.5197933183881022,-19905,22.09493345096962
1,french,17029,0.1862823387846633,3067,0.0838482147739078,-13962,-54.988639652611525
2,german,6672,0.0729858338347098,1935,0.0529006506643337,-4737,-27.519289860910256
3,british,4163,0.0455395722802603,1105,0.0302094154956531,-3058,-33.66337454875977
4,russian,3009,0.0329158234425422,1063,0.0290611843184427,-1946,-11.710596062796826
5,spanish,2457,0.0268774271180878,898,0.0245502761222592,-1559,-8.658384545529989
6,italian,2320,0.0253787671607504,888,0.024276887746733,-1432,-4.3417373548448595
7,,1858,0.0203248919761527,774,0.0211602602657335,-1084,4.110074929603275
8,japanese,1793,0.0196138489307006,627,0.0171414511454972,-1166,-12.60536773755546
9,argentine,1458,0.0159492424656784,574,0.015692492755208,-884,-1.6097925090982117
10,swiss,1411,0.0154351036481977,568,0.0155284597298922,-843,0.6048296391284698
11,dutch,1287,0.0140786522999507,530,0.0144895839028924,-757,2.9188276987502477
12,mexican,1055,0.0115407755838757,450,0.0123024768986822,-605,6.600087743415775
13,austrian,839,0.0091779248482196,334,0.0091311717425775,-505,-0.5094082422255704
14,belgian,804,0.0087950555160531,331,0.0090491552299196,-473,2.8891200675505258
15,hungarian,771,0.008434064431439,318,0.0086937503417354,-453,3.0790126445843717
16,nationality unknown,526,0.0057539791062735,304,0.0083110066159986,-222,44.43929083679157
17,czech,523,0.005721161734945,304,0.0083110066159986,-219,45.26781449359775
18,brazilian,486,0.0053164141552261,216,0.0059051889113674,-270,11.074659327707327
19,venezuelan,424,0.0046381884811026,175,0.0047842965717097,-249,3.1501111091623133
20,polish,362,0.0039599628069791,168,0.0045929247088413,-194,15.984036535561852
21,danish,303,0.0033145545041842,158,0.0043195363333151,-145,30.32026861716226
22,canadian,298,0.0032598588853032,146,0.0039914702826835,-152,22.44303888977246
23,chilean,291,0.0031832850188699,137,0.0037454207447099,-154,17.658981916723366
24,swedish,216,0.002362850735656,136,0.0037180819071573,-80,57.35576738092371
25,finnish,174,0.0019034075370562,102,0.0027885614303679,-72,46.50364549258191
26,israeli,166,0.0018158945468467,90,0.0024604953797364,-76,35.497701890731975
27,cuban,140,0.0015314773286659,89,0.0024331565421838,-51,58.87643235981629
28,colombian,133,0.0014549034622326,80,0.0021871070042101,-53,50.32660660892978
29,ukrainian,109,0.0011923644916042,80,0.0021871070042101,-29,83.42604292648628
30,norwegian,105,0.0011486079964994,77,0.0021050904915522,-28,83.27318789072174
31,portuguese,105,0.0011486079964994,76,0.0020777516539996,-29,80.89301661941596
