,nationality,count,percentage
3,american,19013,0.5197933183881022
14,german,3067,0.08384821477390782
4,british,1935,0.052900650664333755
0,french,1105,0.030209415495653126
1,,1063,0.02906118431844278
5,japanese,898,0.024550276122259282
7,swiss,888,0.02427688774673301
6,italian,774,0.0211602602657335
15,canadian,627,0.017141451145497293
10,spanish,574,0.015692492755208048
2,dutch,568,0.015528459729892285
23,colombian,530,0.014489583902892449
69,ivorian,482,0.013177319700366341
9,argentine,450,0.012302476898682267
37,south african,334,0.009131171742577505
16,belgian,331,0.009049155229919623
47,chinese,318,0.00869375034173547
11,austrian,304,0.008311006615998687
26,brazilian,304,0.008311006615998687
32,mexican,216,0.005905188911367489
30,chilean,175,0.004784296571709771
31,russian,168,0.00459292470884138
42,indian,158,0.004319536333315108
28,israeli,146,0.00399147028268358
12,polish,137,0.003745420744709935
19,danish,136,0.003718081907157308
24,australian,102,0.0027885614303679806
27,yugoslav,90,0.0024604953797364537
17,norwegian,89,0.002433156542183826
25,nationality unknown,80,0.002187107004210181
52,croatian,80,0.002187107004210181
45,korean,77,0.0021050904915522993
68,slovak,76,0.0020777516539996718
22,swedish,70,0.0019137186286839083
36,cuban,69,0.001886379791131281
55,venezuelan,67,0.0018317021160260266
59,lebanese,60,0.0016403302531576357
66,egyptian,59,0.0016129914156050086
18,finnish,56,0.0015309749029471266
49,uruguayan,55,0.0015036360653944995
33,scottish,55,0.0015036360653944995
38,czech,55,0.0015036360653944995
73,portuguese,53,0.001448958390289245
44,pakistani,49,0.0013396030400787359
29,hungarian,41,0.0011208923396577178
58,irish,39,0.0010662146645524632
54,icelandic,36,0.0009841981518945815
40,ukrainian,35,0.0009568593143419542
8,luxembourgish,32,0.0008748428016840723
35,thai,28,0.0007654874514735633
46,turkish,27,0.0007381486139209361
34,greek,26,0.0007108097763683088
93,filipino,25,0.0006834709388156816
41,peruvian,25,0.0006834709388156816
67,albanian,24,0.0006561321012630543
64,slovenian,21,0.0005741155886051725
39,romanian,19,0.0005194379134999179
72,native american,19,0.0005194379134999179
13,iranian,18,0.0004920990759472907
57,new zealander,16,0.00043742140084203617
48,guatemalan,16,0.00043742140084203617
20,moroccan,15,0.0004100825632894089
82,cameroonian,13,0.0003554048881841544
92,sudanese,13,0.0003554048881841544
83,tunisian,12,0.00032806605063152714
61,kenyan,12,0.00032806605063152714
85,palestinian,12,0.00032806605063152714
87,algerian,12,0.00032806605063152714
63,taiwanese,9,0.00024604953797364537
56,bulgarian,8,0.00021871070042101809
53,congolese,8,0.00021871070042101809
65,georgian,7,0.00019137186286839083
81,zimbabwean,7,0.00019137186286839083
98,emirati,6,0.00016403302531576357
94,ethiopian,5,0.0001366941877631363
77,vietnamese,4,0.00010935535021050904
71,lithuanian,4,0.00010935535021050904
51,bahamian,3,8.201651265788179e-05
74,ghanaian,3,8.201651265788179e-05
21,coptic,3,8.201651265788179e-05
96,beninese,3,8.201651265788179e-05
84,malaysian,3,8.201651265788179e-05
91,bangladeshi,2,5.467767510525452e-05
89,macedonian,2,5.467767510525452e-05
95,malian,2,5.467767510525452e-05
99,salvadoran,2,5.467767510525452e-05
78,serbian,2,5.467767510525452e-05
76,kyrgyzstani,2,5.467767510525452e-05
70,singaporean,2,5.467767510525452e-05
43,bosnian,2,5.467767510525452e-05
86,catalan,1,2.733883755262726e-05
80,namibian,1,2.733883755262726e-05
88,sahrawi,1,2.733883755262726e-05
79,ugandan,1,2.733883755262726e-05
90,welsh,1,2.733883755262726e-05
75,afghan,1,2.733883755262726e-05
62,nigerian,1,2.733883755262726e-05
60,cypriot,1,2.733883755262726e-05
97,sierra leonean,1,2.733883755262726e-05
50,senegalese,1,2.733883755262726e-05
